Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
78000;	5.01685e-01;	1.13951e-03;	8.37232e-02;	2.53775e-04;	8.57979e-06;	8.57979e-08
79000;	5.01712e-01;	1.12533e-03;	8.36985e-02;	2.51758e-04;	8.54542e-06;	8.54542e-08
80000;	5.01896e-01;	1.12621e-03;	8.36932e-02;	2.48647e-04;	8.52844e-06;	8.52844e-08
81000;	5.01825e-01;	1.11448e-03;	8.36787e-02;	2.45987e-04;	8.50538e-06;	8.50538e-08
82000;	5.01580e-01;	1.12763e-03;	8.36142e-02;	2.51380e-04;	8.46256e-06;	8.46256e-08
83000;	5.01557e-01;	1.11419e-03;	8.36109e-02;	2.48355e-04;	8.41906e-06;	8.41906e-08
84000;	5.01375e-01;	1.11586e-03;	8.36137e-02;	2.45397e-04;	8.36385e-06;	8.36385e-08
85000;	5.01241e-01;	1.11073e-03;	8.35998e-02;	2.42887e-04;	8.30171e-06;	8.30171e-08
86000;	5.01197e-01;	1.09864e-03;	8.36340e-02;	2.42465e-04;	8.23849e-06;	8.23849e-08
87000;	5.01336e-01;	1.09486e-03;	8.36132e-02;	2.40559e-04;	8.18485e-06;	8.18485e-08
88000;	5.01387e-01;	1.08355e-03;	8.36399e-02;	2.39299e-04;	8.13558e-06;	8.13558e-08
89000;	5.01342e-01;	1.07226e-03;	8.36279e-02;	2.36899e-04;	8.08464e-06;	8.08464e-08
90000;	5.01367e-01;	1.06056e-03;	8.36221e-02;	2.34324e-04;	8.03631e-06;	8.03631e-08
91000;	5.01434e-01;	1.05099e-03;	8.36534e-02;	2.33848e-04;	7.99318e-06;	7.99318e-08
92000;	5.01335e-01;	1.04414e-03;	8.36021e-02;	2.36930e-04;	7.94507e-06;	7.94507e-08
93000;	5.01397e-01;	1.03467e-03;	8.35979e-02;	2.34405e-04;	7.90159e-06;	7.90159e-08
94000;	5.01369e-01;	1.02399e-03;	8.35908e-02;	2.32007e-04;	7.85739e-06;	7.85739e-08
95000;	5.01288e-01;	1.01635e-03;	8.35617e-02;	2.31386e-04;	7.80961e-06;	7.80961e-08
96000;	5.01285e-01;	1.00571e-03;	8.35615e-02;	2.28963e-04;	7.76264e-06;	7.76264e-08
97000;	5.01435e-01;	1.00652e-03;	8.35774e-02;	2.27152e-04;	7.72504e-06;	7.72504e-08
98000;	5.01277e-01;	1.00858e-03;	8.35446e-02;	2.27205e-04;	7.67950e-06;	7.67950e-08
99000;	5.01490e-01;	1.02079e-03;	8.35353e-02;	2.25092e-04;	7.64677e-06;	7.64677e-08
100000;	5.01438e-01;	1.01189e-03;	8.35406e-02;	2.22892e-04;	7.61164e-06;	7.61164e-08
