Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
750000;	4.99902e-01;	3.17823e-04;	8.31811e-02;	7.83561e-05;	1.18700e-06;	1.18700e-09
760000;	4.99901e-01;	3.13615e-04;	8.31993e-02;	7.94429e-05;	1.17164e-06;	1.17164e-09
770000;	4.99887e-01;	3.09822e-04;	8.31969e-02;	7.84416e-05;	1.15676e-06;	1.15676e-09
780000;	4.99896e-01;	3.05948e-04;	8.32087e-02;	7.83177e-05;	1.14220e-06;	1.14220e-09
790000;	4.99888e-01;	3.02147e-04;	8.32181e-02;	7.78916e-05;	1.12806e-06;	1.12806e-09
800000;	4.99936e-01;	3.02191e-04;	8.32379e-02;	7.94137e-05;	1.11406e-06;	1.11406e-09
810000;	4.99951e-01;	2.98801e-04;	8.32552e-02;	8.03176e-05;	1.10037e-06;	1.10037e-09
820000;	4.99949e-01;	2.95141e-04;	8.32453e-02;	7.99392e-05;	1.08701e-06;	1.08701e-09
830000;	5.00017e-01;	2.99420e-04;	8.32437e-02;	7.89881e-05;	1.07392e-06;	1.07392e-09
840000;	4.99996e-01;	2.96599e-04;	8.32425e-02;	7.80508e-05;	1.06114e-06;	1.06114e-09
850000;	4.99991e-01;	2.93125e-04;	8.32355e-02;	7.74474e-05;	1.04866e-06;	1.04866e-09
860000;	4.99996e-01;	2.89735e-04;	8.32469e-02;	7.73941e-05;	1.03646e-06;	1.03646e-09
870000;	4.99963e-01;	2.88301e-04;	8.32453e-02;	7.65161e-05;	1.02458e-06;	1.02458e-09
880000;	4.99921e-01;	2.88085e-04;	8.32602e-02;	7.70972e-05;	1.01308e-06;	1.01308e-09
890000;	4.99974e-01;	2.89845e-04;	8.32586e-02;	7.62425e-05;	1.00171e-06;	1.00171e-09
900000;	4.99991e-01;	2.87068e-04;	8.32621e-02;	7.54704e-05;	9.90586e-07;	9.90586e-10
910000;	4.99948e-01;	2.87160e-04;	8.32633e-02;	7.46459e-05;	9.79761e-07;	9.79761e-10
920000;	4.99988e-01;	2.86939e-04;	8.32613e-02;	7.38564e-05;	9.69115e-07;	9.69115e-10
930000;	5.00024e-01;	2.86009e-04;	8.32712e-02;	7.37269e-05;	9.58706e-07;	9.58706e-10
940000;	4.99982e-01;	2.85963e-04;	8.32808e-02;	7.35634e-05;	9.48514e-07;	9.48514e-10
950000;	4.99964e-01;	2.83505e-04;	8.32747e-02;	7.30394e-05;	9.38556e-07;	9.38556e-10
960000;	4.99995e-01;	2.82170e-04;	8.32644e-02;	7.30016e-05;	9.28780e-07;	9.28780e-10
970000;	5.00013e-01;	2.79826e-04;	8.32671e-02;	7.22938e-05;	9.19208e-07;	9.19208e-10
980000;	4.99984e-01;	2.78429e-04;	8.32571e-02;	7.22531e-05;	9.09834e-07;	9.09834e-10
