Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
4780000;	5.00167e-01;	1.31335e-04;	8.33310e-02;	3.47624e-05;	2.93422e-07;	2.93422e-10
4790000;	5.00158e-01;	1.31328e-04;	8.33329e-02;	3.47434e-05;	2.92914e-07;	2.92914e-10
4800000;	5.00162e-01;	1.31096e-04;	8.33320e-02;	3.46833e-05;	2.92412e-07;	2.92412e-10
4810000;	5.00166e-01;	1.30900e-04;	8.33332e-02;	3.46307e-05;	2.91919e-07;	2.91919e-10
4820000;	5.00173e-01;	1.30788e-04;	8.33354e-02;	3.46320e-05;	2.91437e-07;	2.91437e-10
4830000;	5.00169e-01;	1.30568e-04;	8.33360e-02;	3.45660e-05;	2.90951e-07;	2.90951e-10
4840000;	5.00171e-01;	1.30310e-04;	8.33325e-02;	3.46754e-05;	2.90470e-07;	2.90470e-10
4850000;	5.00165e-01;	1.30179e-04;	8.33311e-02;	3.46325e-05;	2.89983e-07;	2.89983e-10
4860000;	5.00169e-01;	1.29970e-04;	8.33302e-02;	3.45722e-05;	2.89504e-07;	2.89504e-10
4870000;	5.00164e-01;	1.29779e-04;	8.33308e-02;	3.45067e-05;	2.89020e-07;	2.89020e-10
4880000;	5.00162e-01;	1.29529e-04;	8.33311e-02;	3.44368e-05;	2.88535e-07;	2.88535e-10
4890000;	5.00156e-01;	1.29386e-04;	8.33312e-02;	3.43666e-05;	2.88045e-07;	2.88045e-10
4900000;	5.00148e-01;	1.29368e-04;	8.33353e-02;	3.45324e-05;	2.87547e-07;	2.87547e-10
4910000;	5.00151e-01;	1.29134e-04;	8.33325e-02;	3.45738e-05;	2.87055e-07;	2.87055e-10
4920000;	5.00142e-01;	1.29200e-04;	8.33304e-02;	3.45656e-05;	2.86554e-07;	2.86554e-10
4930000;	5.00144e-01;	1.28949e-04;	8.33297e-02;	3.45034e-05;	2.86056e-07;	2.86056e-10
4940000;	5.00145e-01;	1.28694e-04;	8.33293e-02;	3.44350e-05;	2.85562e-07;	2.85562e-10
4950000;	5.00145e-01;	1.28434e-04;	8.33275e-02;	3.44156e-05;	2.85071e-07;	2.85071e-10
4960000;	5.00146e-01;	1.28176e-04;	8.33287e-02;	3.43681e-05;	2.84582e-07;	2.84582e-10
4970000;	5.00142e-01;	1.27966e-04;	8.33269e-02;	3.43448e-05;	2.84091e-07;	2.84091e-10
4980000;	5.00149e-01;	1.27907e-04;	8.33259e-02;	3.42917e-05;	2.83610e-07;	2.83610e-10
4990000;	5.00153e-01;	1.27695e-04;	8.33269e-02;	3.42374e-05;	2.83135e-07;	2.83135e-10
5000000;	5.00151e-01;	1.27448e-04;	8.33255e-02;	3.41959e-05;	2.82660e-07;	2.82660e-10
5010000;	5.00142e-01;	1.27533e-04;	8.33260e-02;	3.41305e-05;	2.82177e-07;	2.82177e-10
5020000;	5.00135e-01;	1.27466e-04;	8.33256e-02;	3.40646e-05;	2.81687e-07;	2.81687e-10
5030000;	5.00136e-01;	1.27216e-04;	8.33237e-02;	3.40504e-05;	2.81201e-07;	2.81201e-10
5040000;	5.00133e-01;	1.27010e-04;	8.33229e-02;	3.39918e-05;	2.80713e-07;	2.80713e-10
5050000;	5.00126e-01;	1.26930e-04;	8.33227e-02;	3.39252e-05;	2.80220e-07;	2.80220e-10
5060000;	5.00121e-01;	1.26760e-04;	8.33217e-02;	3.38710e-05;	2.79724e-07;	2.79724e-10
5070000;	5.00125e-01;	1.26565e-04;	8.33219e-02;	3.38045e-05;	2.79234e-07;	2.79234e-10
5080000;	5.00129e-01;	1.26367e-04;	8.33251e-02;	3.38914e-05;	2.78750e-07;	2.78750e-10
5090000;	5.00125e-01;	1.26180e-04;	8.33224e-02;	3.39316e-05;	2.78263e-07;	2.78263e-10
5100000;	5.00132e-01;	1.26120e-04;	8.33218e-02;	3.38701e-05;	2.77786e-07;	2.77786e-10
5110000;	5.00126e-01;	1.25981e-04;	8.33226e-02;	3.38126e-05;	2.77305e-07;	2.77305e-10
5120000;	5.00113e-01;	1.26493e-04;	8.33240e-02;	3.37753e-05;	2.76813e-07;	2.76813e-10
5130000;	5.00112e-01;	1.26251e-04;	8.33244e-02;	3.37117e-05;	2.76322e-07;	2.76322e-10
5140000;	5.00113e-01;	1.26013e-04;	8.33247e-02;	3.36475e-05;	2.75834e-07;	2.75834e-10
5150000;	5.00120e-01;	1.25975e-04;	8.33229e-02;	3.36329e-05;	2.75354e-07;	2.75354e-10
5160000;	5.00110e-01;	1.26124e-04;	8.33232e-02;	3.35700e-05;	2.74868e-07;	2.74868e-10
5170000;	5.00112e-01;	1.25900e-04;	8.33225e-02;	3.35141e-05;	2.74385e-07;	2.74385e-10
5180000;	5.00112e-01;	1.25656e-04;	8.33252e-02;	3.35616e-05;	2.73904e-07;	2.73904e-10
5190000;	5.00106e-01;	1.25580e-04;	8.33243e-02;	3.35090e-05;	2.73420e-07;	2.73420e-10
5200000;	5.00113e-01;	1.25539e-04;	8.33238e-02;	3.34477e-05;	2.72943e-07;	2.72943e-10
5210000;	5.00115e-01;	1.25308e-04;	8.33269e-02;	3.35257e-05;	2.72470e-07;	2.72470e-10
5220000;	5.00114e-01;	1.25068e-04;	8.33290e-02;	3.35285e-05;	2.71998e-07;	2.71998e-10
5230000;	5.00113e-01;	1.24838e-04;	8.33292e-02;	3.34648e-05;	2.71526e-07;	2.71526e-10
5240000;	5.00111e-01;	1.24610e-04;	8.33290e-02;	3.34018e-05;	2.71055e-07;	2.71055e-10
5250000;	5.00110e-01;	1.24377e-04;	8.33288e-02;	3.33383e-05;	2.70585e-07;	2.70585e-10
5260000;	5.00104e-01;	1.24301e-04;	8.33271e-02;	3.33179e-05;	2.70112e-07;	2.70112e-10
5270000;	5.00105e-01;	1.24071e-04;	8.33258e-02;	3.32804e-05;	2.69641e-07;	2.69641e-10
5280000;	5.00091e-01;	1.24637e-04;	8.33266e-02;	3.32261e-05;	2.69161e-07;	2.69161e-10
5290000;	5.00091e-01;	1.24403e-04;	8.33248e-02;	3.32097e-05;	2.68684e-07;	2.68684e-10
5300000;	5.00092e-01;	1.24171e-04;	8.33265e-02;	3.31900e-05;	2.68209e-07;	2.68209e-10
5310000;	5.00088e-01;	1.24024e-04;	8.33264e-02;	3.31277e-05;	2.67733e-07;	2.67733e-10
5320000;	5.00081e-01;	1.23943e-04;	8.33260e-02;	3.30681e-05;	2.67255e-07;	2.67255e-10
5330000;	5.00088e-01;	1.23887e-04;	8.33228e-02;	3.31536e-05;	2.66783e-07;	2.66783e-10
5340000;	5.00088e-01;	1.23655e-04;	8.33219e-02;	3.31056e-05;	2.66312e-07;	2.66312e-10
5350000;	5.00087e-01;	1.23425e-04;	8.33218e-02;	3.30437e-05;	2.65843e-07;	2.65843e-10
5360000;	5.00089e-01;	1.23212e-04;	8.33220e-02;	3.29825e-05;	2.65377e-07;	2.65377e-10
5370000;	5.00087e-01;	1.22999e-04;	8.33228e-02;	3.29308e-05;	2.64911e-07;	2.64911e-10
5380000;	5.00089e-01;	1.22782e-04;	8.33249e-02;	3.29343e-05;	2.64448e-07;	2.64448e-10
5390000;	5.00096e-01;	1.22755e-04;	8.33257e-02;	3.28835e-05;	2.63992e-07;	2.63992e-10
5400000;	5.00099e-01;	1.22566e-04;	8.33266e-02;	3.28339e-05;	2.63539e-07;	2.63539e-10
5410000;	5.00095e-01;	1.22412e-04;	8.33252e-02;	3.28015e-05;	2.63085e-07;	2.63085e-10
5420000;	5.00088e-01;	1.22364e-04;	8.33244e-02;	3.27509e-05;	2.62629e-07;	2.62629e-10
5430000;	5.00078e-01;	1.22566e-04;	8.33219e-02;	3.27838e-05;	2.62167e-07;	2.62167e-10
5440000;	5.00074e-01;	1.22402e-04;	8.33227e-02;	3.27321e-05;	2.61706e-07;	2.61706e-10
5450000;	5.00080e-01;	1.22319e-04;	8.33220e-02;	3.26793e-05;	2.61249e-07;	2.61249e-10
5460000;	5.00072e-01;	1.22385e-04;	8.33221e-02;	3.26198e-05;	2.60789e-07;	2.60789e-10
5470000;	5.00085e-01;	1.22933e-04;	8.33221e-02;	3.25602e-05;	2.60339e-07;	2.60339e-10
5480000;	5.00083e-01;	1.22735e-04;	8.33229e-02;	3.25105e-05;	2.59889e-07;	2.59889e-10
5490000;	5.00081e-01;	1.22530e-04;	8.33234e-02;	3.24563e-05;	2.59439e-07;	2.59439e-10
5500000;	5.00075e-01;	1.22417e-04;	8.33239e-02;	3.24006e-05;	2.58988e-07;	2.58988e-10
5510000;	5.00076e-01;	1.22195e-04;	8.33226e-02;	3.23682e-05;	2.58539e-07;	2.58539e-10
5520000;	5.00072e-01;	1.22017e-04;	8.33235e-02;	3.23234e-05;	2.58090e-07;	2.58090e-10
5530000;	5.00081e-01;	1.22076e-04;	8.33228e-02;	3.22722e-05;	2.57647e-07;	2.57647e-10
5540000;	5.00077e-01;	1.21917e-04;	8.33239e-02;	3.22314e-05;	2.57203e-07;	2.57203e-10
5550000;	5.00068e-01;	1.22042e-04;	8.33239e-02;	3.21733e-05;	2.56756e-07;	2.56756e-10
5560000;	5.00071e-01;	1.21865e-04;	8.33258e-02;	3.21714e-05;	2.56312e-07;	2.56312e-10
5570000;	5.00069e-01;	1.21658e-04;	8.33259e-02;	3.21137e-05;	2.55869e-07;	2.55869e-10
5580000;	5.00063e-01;	1.21600e-04;	8.33271e-02;	3.20783e-05;	2.55425e-07;	2.55425e-10
5590000;	5.00070e-01;	1.21586e-04;	8.33265e-02;	3.20255e-05;	2.54986e-07;	2.54986e-10
5600000;	5.00071e-01;	1.21372e-04;	8.33267e-02;	3.19684e-05;	2.54548e-07;	2.54548e-10
5610000;	5.00071e-01;	1.21156e-04;	8.33264e-02;	3.19122e-05;	2.54113e-07;	2.54113e-10
5620000;	5.00070e-01;	1.20950e-04;	8.33279e-02;	3.18890e-05;	2.53678e-07;	2.53678e-10
5630000;	5.00066e-01;	1.20814e-04;	8.33295e-02;	3.18749e-05;	2.53243e-07;	2.53243e-10
5640000;	5.00068e-01;	1.20616e-04;	8.33274e-02;	3.18926e-05;	2.52810e-07;	2.52810e-10
5650000;	5.00060e-01;	1.20622e-04;	8.33260e-02;	3.18672e-05;	2.52375e-07;	2.52375e-10
5660000;	5.00054e-01;	1.20562e-04;	8.33255e-02;	3.18137e-05;	2.51940e-07;	2.51940e-10
5670000;	5.00050e-01;	1.20440e-04;	8.33272e-02;	3.17992e-05;	2.51504e-07;	2.51504e-10
5680000;	5.00047e-01;	1.20255e-04;	8.33284e-02;	3.17660e-05;	2.51069e-07;	2.51069e-10
5690000;	5.00047e-01;	1.20043e-04;	8.33283e-02;	3.17102e-05;	2.50636e-07;	2.50636e-10
5700000;	5.00046e-01;	1.19840e-04;	8.33301e-02;	3.17026e-05;	2.50203e-07;	2.50203e-10
5710000;	5.00039e-01;	1.19791e-04;	8.33304e-02;	3.16489e-05;	2.49770e-07;	2.49770e-10
5720000;	5.00050e-01;	1.20027e-04;	8.33290e-02;	3.16262e-05;	2.49342e-07;	2.49342e-10
5730000;	5.00051e-01;	1.19822e-04;	8.33317e-02;	3.16860e-05;	2.48916e-07;	2.48916e-10
5740000;	5.00056e-01;	1.19712e-04;	8.33314e-02;	3.16318e-05;	2.48493e-07;	2.48493e-10
5750000;	5.00061e-01;	1.19620e-04;	8.33326e-02;	3.15986e-05;	2.48074e-07;	2.48074e-10
5760000;	5.00067e-01;	1.19552e-04;	8.33323e-02;	3.15450e-05;	2.47659e-07;	2.47659e-10
5770000;	5.00061e-01;	1.19457e-04;	8.33316e-02;	3.14980e-05;	2.47243e-07;	2.47243e-10
5780000;	5.00073e-01;	1.19814e-04;	8.33310e-02;	3.14491e-05;	2.46833e-07;	2.46833e-10
5790000;	5.00076e-01;	1.19635e-04;	8.33307e-02;	3.13959e-05;	2.46427e-07;	2.46427e-10
5800000;	5.00073e-01;	1.19465e-04;	8.33328e-02;	3.14086e-05;	2.46020e-07;	2.46020e-10
5810000;	5.00070e-01;	1.19282e-04;	8.33324e-02;	3.13571e-05;	2.45614e-07;	2.45614e-10
5820000;	5.00072e-01;	1.19094e-04;	8.33315e-02;	3.13153e-05;	2.45210e-07;	2.45210e-10
5830000;	5.00068e-01;	1.18983e-04;	8.33333e-02;	3.13128e-05;	2.44805e-07;	2.44805e-10
5840000;	5.00066e-01;	1.18793e-04;	8.33317e-02;	3.13003e-05;	2.44401e-07;	2.44401e-10
5850000;	5.00062e-01;	1.18653e-04;	8.33311e-02;	3.12522e-05;	2.43996e-07;	2.43996e-10
5860000;	5.00061e-01;	1.18455e-04;	8.33309e-02;	3.11994e-05;	2.43592e-07;	2.43592e-10
5870000;	5.00058e-01;	1.18296e-04;	8.33304e-02;	3.11504e-05;	2.43188e-07;	2.43188e-10
5880000;	5.00056e-01;	1.18113e-04;	8.33313e-02;	3.11095e-05;	2.42785e-07;	2.42785e-10
5890000;	5.00062e-01;	1.18100e-04;	8.33298e-02;	3.10941e-05;	2.42386e-07;	2.42386e-10
5900000;	5.00058e-01;	1.17989e-04;	8.33287e-02;	3.10610e-05;	2.41987e-07;	2.41987e-10
5910000;	5.00060e-01;	1.17811e-04;	8.33277e-02;	3.10219e-05;	2.41589e-07;	2.41589e-10
5920000;	5.00060e-01;	1.17612e-04;	8.33289e-02;	3.09912e-05;	2.41194e-07;	2.41194e-10
5930000;	5.00059e-01;	1.17423e-04;	8.33274e-02;	3.09767e-05;	2.40798e-07;	2.40798e-10
5940000;	5.00052e-01;	1.17427e-04;	8.33297e-02;	3.10111e-05;	2.40402e-07;	2.40402e-10
5950000;	5.00045e-01;	1.17429e-04;	8.33279e-02;	3.10124e-05;	2.40005e-07;	2.40005e-10
5960000;	5.00046e-01;	1.17236e-04;	8.33272e-02;	3.09667e-05;	2.39609e-07;	2.39609e-10
5970000;	5.00047e-01;	1.17043e-04;	8.33282e-02;	3.09290e-05;	2.39215e-07;	2.39215e-10
5980000;	5.00048e-01;	1.16855e-04;	8.33293e-02;	3.08971e-05;	2.38823e-07;	2.38823e-10
5990000;	5.00042e-01;	1.16823e-04;	8.33285e-02;	3.08560e-05;	2.38430e-07;	2.38430e-10
6000000;	5.00035e-01;	1.16829e-04;	8.33261e-02;	3.08944e-05;	2.38037e-07;	2.38037e-10
6010000;	5.00022e-01;	1.17360e-04;	8.33258e-02;	3.08441e-05;	2.37643e-07;	2.37643e-10
6020000;	5.00019e-01;	1.17209e-04;	8.33242e-02;	3.08346e-05;	2.37249e-07;	2.37249e-10
6030000;	5.00015e-01;	1.17069e-04;	8.33236e-02;	3.07893e-05;	2.36856e-07;	2.36856e-10
6040000;	5.00012e-01;	1.16932e-04;	8.33242e-02;	3.07436e-05;	2.36465e-07;	2.36465e-10
6050000;	5.00015e-01;	1.16784e-04;	8.33251e-02;	3.07062e-05;	2.36074e-07;	2.36074e-10
6060000;	5.00015e-01;	1.16591e-04;	8.33257e-02;	3.06604e-05;	2.35686e-07;	2.35686e-10
6070000;	5.00017e-01;	1.16406e-04;	8.33246e-02;	3.06297e-05;	2.35298e-07;	2.35298e-10
6080000;	5.00015e-01;	1.16228e-04;	8.33252e-02;	3.05857e-05;	2.34912e-07;	2.34912e-10
6090000;	5.00011e-01;	1.16094e-04;	8.33270e-02;	3.05898e-05;	2.34527e-07;	2.34527e-10
6100000;	5.00006e-01;	1.16001e-04;	8.33283e-02;	3.05660e-05;	2.34142e-07;	2.34142e-10
6110000;	5.00007e-01;	1.15812e-04;	8.33265e-02;	3.05681e-05;	2.33759e-07;	2.33759e-10
6120000;	5.00006e-01;	1.15627e-04;	8.33241e-02;	3.06150e-05;	2.33377e-07;	2.33377e-10
6130000;	5.00005e-01;	1.15440e-04;	8.33237e-02;	3.05672e-05;	2.32997e-07;	2.32997e-10
6140000;	5.00005e-01;	1.15254e-04;	8.33256e-02;	3.05774e-05;	2.32617e-07;	2.32617e-10
6150000;	5.00002e-01;	1.15098e-04;	8.33246e-02;	3.05442e-05;	2.32239e-07;	2.32239e-10
6160000;	4.99999e-01;	1.14957e-04;	8.33248e-02;	3.04950e-05;	2.31862e-07;	2.31862e-10
6170000;	5.00005e-01;	1.14917e-04;	8.33235e-02;	3.04722e-05;	2.31486e-07;	2.31486e-10
6180000;	5.00011e-01;	1.14891e-04;	8.33234e-02;	3.04231e-05;	2.31112e-07;	2.31112e-10
6190000;	5.00002e-01;	1.15036e-04;	8.33223e-02;	3.03942e-05;	2.30739e-07;	2.30739e-10
6200000;	5.00002e-01;	1.14850e-04;	8.33205e-02;	3.03957e-05;	2.30367e-07;	2.30367e-10
6210000;	4.99998e-01;	1.14720e-04;	8.33196e-02;	3.03617e-05;	2.29996e-07;	2.29996e-10
6220000;	5.00003e-01;	1.14611e-04;	8.33184e-02;	3.03343e-05;	2.29626e-07;	2.29626e-10
6230000;	5.00010e-01;	1.14676e-04;	8.33190e-02;	3.02903e-05;	2.29258e-07;	2.29258e-10
6240000;	5.00012e-01;	1.14502e-04;	8.33198e-02;	3.02518e-05;	2.28891e-07;	2.28891e-10
6250000;	5.00008e-01;	1.14384e-04;	8.33197e-02;	3.02033e-05;	2.28525e-07;	2.28525e-10
6260000;	5.00012e-01;	1.14296e-04;	8.33220e-02;	3.02354e-05;	2.28160e-07;	2.28160e-10
6270000;	5.00017e-01;	1.14200e-04;	8.33209e-02;	3.02044e-05;	2.27797e-07;	2.27797e-10
6280000;	5.00016e-01;	1.14022e-04;	8.33206e-02;	3.01581e-05;	2.27435e-07;	2.27435e-10
6290000;	5.00019e-01;	1.13873e-04;	8.33206e-02;	3.01101e-05;	2.27075e-07;	2.27075e-10
6300000;	5.00019e-01;	1.13693e-04;	8.33202e-02;	3.00651e-05;	2.26716e-07;	2.26716e-10
6310000;	5.00023e-01;	1.13577e-04;	8.33205e-02;	3.00188e-05;	2.26358e-07;	2.26358e-10
6320000;	5.00022e-01;	1.13397e-04;	8.33181e-02;	3.00600e-05;	2.26001e-07;	2.26001e-10
6330000;	5.00021e-01;	1.13227e-04;	8.33178e-02;	3.00150e-05;	2.25646e-07;	2.25646e-10
6340000;	5.00015e-01;	1.13210e-04;	8.33188e-02;	2.99842e-05;	2.25290e-07;	2.25290e-10
6350000;	5.00013e-01;	1.13044e-04;	8.33200e-02;	2.99617e-05;	2.24936e-07;	2.24936e-10
6360000;	5.00017e-01;	1.12924e-04;	8.33190e-02;	2.99299e-05;	2.24583e-07;	2.24583e-10
6370000;	5.00011e-01;	1.12915e-04;	8.33186e-02;	2.98857e-05;	2.24231e-07;	2.24231e-10
6380000;	5.00012e-01;	1.12741e-04;	8.33197e-02;	2.98602e-05;	2.23880e-07;	2.23880e-10
6390000;	5.00008e-01;	1.12619e-04;	8.33219e-02;	2.98958e-05;	2.23530e-07;	2.23530e-10
6400000;	5.00005e-01;	1.12478e-04;	8.33217e-02;	2.98499e-05;	2.23181e-07;	2.23181e-10
6410000;	5.00007e-01;	1.12314e-04;	8.33251e-02;	2.99910e-05;	2.22833e-07;	2.22833e-10
6420000;	5.00003e-01;	1.12213e-04;	8.33239e-02;	2.99673e-05;	2.22486e-07;	2.22486e-10
6430000;	5.00006e-01;	1.12078e-04;	8.33236e-02;	2.99224e-05;	2.22140e-07;	2.22140e-10
6440000;	5.00005e-01;	1.11907e-04;	8.33224e-02;	2.99001e-05;	2.21795e-07;	2.21795e-10
6450000;	5.00014e-01;	1.12059e-04;	8.33224e-02;	2.98538e-05;	2.21452e-07;	2.21452e-10
6460000;	5.00007e-01;	1.12067e-04;	8.33217e-02;	2.98159e-05;	2.21109e-07;	2.21109e-10
6470000;	5.00002e-01;	1.12012e-04;	8.33236e-02;	2.98289e-05;	2.20767e-07;	2.20767e-10
6480000;	5.00009e-01;	1.12069e-04;	8.33223e-02;	2.98129e-05;	2.20427e-07;	2.20427e-10
6490000;	5.00007e-01;	1.11915e-04;	8.33217e-02;	2.97735e-05;	2.20087e-07;	2.20087e-10
6500000;	5.00011e-01;	1.11794e-04;	8.33187e-02;	2.98768e-05;	2.19749e-07;	2.19749e-10
6510000;	5.00014e-01;	1.11659e-04;	8.33164e-02;	2.99210e-05;	2.19412e-07;	2.19412e-10
6520000;	5.00017e-01;	1.11530e-04;	8.33144e-02;	2.99371e-05;	2.19077e-07;	2.19077e-10
6530000;	5.00019e-01;	1.11390e-04;	8.33152e-02;	2.99014e-05;	2.18742e-07;	2.18742e-10
6540000;	5.00028e-01;	1.11596e-04;	8.33158e-02;	2.98626e-05;	2.18410e-07;	2.18410e-10
6550000;	5.00028e-01;	1.11425e-04;	8.33157e-02;	2.98172e-05;	2.18079e-07;	2.18079e-10
6560000;	5.00032e-01;	1.11312e-04;	8.33157e-02;	2.97718e-05;	2.17750e-07;	2.17750e-10
6570000;	5.00032e-01;	1.11143e-04;	8.33158e-02;	2.97268e-05;	2.17421e-07;	2.17421e-10
6580000;	5.00029e-01;	1.11018e-04;	8.33162e-02;	2.96841e-05;	2.17094e-07;	2.17094e-10
6590000;	5.00025e-01;	1.10928e-04;	8.33160e-02;	2.96397e-05;	2.16766e-07;	2.16766e-10
6600000;	5.00031e-01;	1.10953e-04;	8.33152e-02;	2.96040e-05;	2.16441e-07;	2.16441e-10
6610000;	5.00033e-01;	1.10796e-04;	8.33137e-02;	2.95992e-05;	2.16116e-07;	2.16116e-10
6620000;	5.00030e-01;	1.10656e-04;	8.33137e-02;	2.95544e-05;	2.15793e-07;	2.15793e-10
6630000;	5.00019e-01;	1.11017e-04;	8.33160e-02;	2.95949e-05;	2.15468e-07;	2.15468e-10
6640000;	5.00019e-01;	1.10854e-04;	8.33154e-02;	2.95564e-05;	2.15145e-07;	2.15145e-10
6650000;	5.00014e-01;	1.10778e-04;	8.33156e-02;	2.95126e-05;	2.14822e-07;	2.14822e-10
6660000;	5.00011e-01;	1.10643e-04;	8.33155e-02;	2.94683e-05;	2.14500e-07;	2.14500e-10
6670000;	5.00007e-01;	1.10564e-04;	8.33155e-02;	2.94241e-05;	2.14178e-07;	2.14178e-10
6680000;	5.00003e-01;	1.10467e-04;	8.33162e-02;	2.93890e-05;	2.13858e-07;	2.13858e-10
6690000;	5.00010e-01;	1.10530e-04;	8.33185e-02;	2.94358e-05;	2.13538e-07;	2.13538e-10
6700000;	5.00006e-01;	1.10437e-04;	8.33168e-02;	2.94415e-05;	2.13220e-07;	2.13220e-10
6710000;	5.00007e-01;	1.10272e-04;	8.33154e-02;	2.94304e-05;	2.12902e-07;	2.12902e-10
6720000;	5.00008e-01;	1.10113e-04;	8.33159e-02;	2.93907e-05;	2.12586e-07;	2.12586e-10
6730000;	5.00005e-01;	1.09981e-04;	8.33166e-02;	2.93557e-05;	2.12270e-07;	2.12270e-10
6740000;	5.00001e-01;	1.09880e-04;	8.33169e-02;	2.93136e-05;	2.11955e-07;	2.11955e-10
6750000;	5.00002e-01;	1.09718e-04;	8.33161e-02;	2.92811e-05;	2.11641e-07;	2.11641e-10
6760000;	5.00005e-01;	1.09595e-04;	8.33184e-02;	2.93263e-05;	2.11328e-07;	2.11328e-10
6770000;	5.00005e-01;	1.09435e-04;	8.33187e-02;	2.92841e-05;	2.11016e-07;	2.11016e-10
6780000;	5.00005e-01;	1.09276e-04;	8.33189e-02;	2.92421e-05;	2.10705e-07;	2.10705e-10
6790000;	5.00012e-01;	1.09374e-04;	8.33212e-02;	2.92837e-05;	2.10395e-07;	2.10395e-10
6800000;	5.00015e-01;	1.09266e-04;	8.33225e-02;	2.92698e-05;	2.10086e-07;	2.10086e-10
6810000;	5.00024e-01;	1.09476e-04;	8.33257e-02;	2.94023e-05;	2.09779e-07;	2.09779e-10
6820000;	5.00031e-01;	1.09499e-04;	8.33253e-02;	2.93612e-05;	2.09474e-07;	2.09474e-10
6830000;	5.00030e-01;	1.09342e-04;	8.33249e-02;	2.93218e-05;	2.09170e-07;	2.09170e-10
6840000;	5.00026e-01;	1.09243e-04;	8.33238e-02;	2.92987e-05;	2.08867e-07;	2.08867e-10
6850000;	5.00025e-01;	1.09098e-04;	8.33232e-02;	2.92631e-05;	2.08563e-07;	2.08563e-10
6860000;	5.00022e-01;	1.08960e-04;	8.33239e-02;	2.92311e-05;	2.08261e-07;	2.08261e-10
6870000;	5.00027e-01;	1.08893e-04;	8.33232e-02;	2.91979e-05;	2.07960e-07;	2.07960e-10
6880000;	5.00027e-01;	1.08735e-04;	8.33212e-02;	2.92210e-05;	2.07660e-07;	2.07660e-10
6890000;	5.00026e-01;	1.08580e-04;	8.33213e-02;	2.91787e-05;	2.07360e-07;	2.07360e-10
6900000;	5.00025e-01;	1.08424e-04;	8.33218e-02;	2.91395e-05;	2.07061e-07;	2.07061e-10
6910000;	5.00028e-01;	1.08301e-04;	8.33211e-02;	2.91058e-05;	2.06764e-07;	2.06764e-10
6920000;	5.00038e-01;	1.08586e-04;	8.33207e-02;	2.90657e-05;	2.06469e-07;	2.06469e-10
6930000;	5.00038e-01;	1.08429e-04;	8.33217e-02;	2.90409e-05;	2.06176e-07;	2.06176e-10
6940000;	5.00038e-01;	1.08273e-04;	8.33188e-02;	2.91423e-05;	2.05883e-07;	2.05883e-10
6950000;	5.00036e-01;	1.08136e-04;	8.33180e-02;	2.91115e-05;	2.05590e-07;	2.05590e-10
6960000;	5.00031e-01;	1.08075e-04;	8.33183e-02;	2.90710e-05;	2.05297e-07;	2.05297e-10
6970000;	5.00034e-01;	1.07953e-04;	8.33190e-02;	2.90369e-05;	2.05006e-07;	2.05006e-10
6980000;	5.00031e-01;	1.07842e-04;	8.33203e-02;	2.90256e-05;	2.04715e-07;	2.04715e-10
6990000;	5.00036e-01;	1.07799e-04;	8.33214e-02;	2.90031e-05;	2.04426e-07;	2.04426e-10
7000000;	5.00043e-01;	1.07858e-04;	8.33204e-02;	2.89790e-05;	2.04139e-07;	2.04139e-10
7010000;	5.00044e-01;	1.07711e-04;	8.33191e-02;	2.89630e-05;	2.03853e-07;	2.03853e-10
7020000;	5.00043e-01;	1.07558e-04;	8.33191e-02;	2.89217e-05;	2.03568e-07;	2.03568e-10
7030000;	5.00036e-01;	1.07637e-04;	8.33176e-02;	2.89234e-05;	2.03283e-07;	2.03283e-10
7040000;	5.00038e-01;	1.07490e-04;	8.33170e-02;	2.88878e-05;	2.02998e-07;	2.02998e-10
7050000;	5.00037e-01;	1.07338e-04;	8.33176e-02;	2.88527e-05;	2.02714e-07;	2.02714e-10
7060000;	5.00031e-01;	1.07384e-04;	8.33180e-02;	2.88148e-05;	2.02429e-07;	2.02429e-10
7070000;	5.00035e-01;	1.07295e-04;	8.33165e-02;	2.88160e-05;	2.02147e-07;	2.02147e-10
7080000;	5.00028e-01;	1.07322e-04;	8.33177e-02;	2.88033e-05;	2.01863e-07;	2.01863e-10
7090000;	5.00024e-01;	1.07248e-04;	8.33190e-02;	2.87906e-05;	2.01580e-07;	2.01580e-10
7100000;	5.00023e-01;	1.07112e-04;	8.33183e-02;	2.87575e-05;	2.01298e-07;	2.01298e-10
7110000;	5.00021e-01;	1.06968e-04;	8.33172e-02;	2.87411e-05;	2.01016e-07;	2.01016e-10
7120000;	5.00023e-01;	1.06826e-04;	8.33191e-02;	2.87632e-05;	2.00735e-07;	2.00735e-10
7130000;	5.00018e-01;	1.06774e-04;	8.33198e-02;	2.87327e-05;	2.00454e-07;	2.00454e-10
7140000;	5.00016e-01;	1.06642e-04;	8.33175e-02;	2.87835e-05;	2.00174e-07;	2.00174e-10
7150000;	5.00017e-01;	1.06493e-04;	8.33188e-02;	2.87717e-05;	1.99895e-07;	1.99895e-10
7160000;	5.00013e-01;	1.06392e-04;	8.33181e-02;	2.87402e-05;	1.99617e-07;	1.99617e-10
7170000;	5.00014e-01;	1.06246e-04;	8.33169e-02;	2.87263e-05;	1.99339e-07;	1.99339e-10
