Numero_Lanci;Valore_Integrale
73999;0.996832
74099;0.996819
74199;0.996771
74299;0.996701
74399;0.996604
74499;0.996585
74599;0.996615
74699;0.996579
74799;0.996598
74899;0.9966
74999;0.996801
75099;0.996811
75199;0.996698
75299;0.996677
75399;0.996802
75499;0.996741
75599;0.996764
75699;0.996813
75799;0.99684
75899;0.996907
75999;0.997021
76099;0.996933
76199;0.996865
76299;0.996911
76399;0.996964
76499;0.996921
76599;0.996949
76699;0.996928
76799;0.996997
76899;0.996981
76999;0.996943
77099;0.996923
77199;0.996903
77299;0.996809
77399;0.996745
77499;0.996699
77599;0.996545
77699;0.996655
77799;0.996604
77899;0.996632
77999;0.996715
78099;0.996732
78199;0.996795
78299;0.996815
78399;0.996834
78499;0.996865
78599;0.996828
78699;0.99686
78799;0.996772
78899;0.996655
78999;0.996701
79099;0.996694
79199;0.996677
79299;0.996645
79399;0.996713
79499;0.996697
79599;0.996596
79699;0.996615
79799;0.996574
79899;0.996479
79999;0.996406
80099;0.996429
80199;0.996555
80299;0.996554
80399;0.996483
80499;0.996455
80599;0.996455
80699;0.996534
80799;0.996537
80899;0.996587
80999;0.996548
81099;0.996576
81199;0.996723
81299;0.996799
81399;0.996841
81499;0.996859
81599;0.996877
81699;0.996953
81799;0.996949
81899;0.996988
81999;0.997033
82099;0.997134
82199;0.997136
82299;0.997034
82399;0.99696
82499;0.996916
82599;0.996971
82699;0.996926
82799;0.996979
82899;0.997001
82999;0.997074
83099;0.997064
83199;0.997052
83299;0.997184
83399;0.997183
83499;0.997178
83599;0.997263
83699;0.997279
83799;0.997334
83899;0.997371
83999;0.997365
84099;0.997379
84199;0.997452
84299;0.997553
84399;0.997568
84499;0.997587
84599;0.997556
84699;0.997586
84799;0.997508
84899;0.997556
84999;0.997601
85099;0.997575
85199;0.997636
85299;0.997573
85399;0.997622
85499;0.997681
85599;0.997641
85699;0.997613
85799;0.997581
85899;0.997619
85999;0.997635
86099;0.997603
86199;0.997621
86299;0.997628
86399;0.997711
86499;0.997775
86599;0.997681
86699;0.997587
86799;0.997377
86899;0.997418
86999;0.997424
87099;0.997367
87199;0.997346
87299;0.997271
87399;0.99731
87499;0.997291
87599;0.99734
87699;0.997261
87799;0.997292
87899;0.997293
87999;0.997311
88099;0.997391
88199;0.997301
88299;0.997281
88399;0.997273
88499;0.997365
88599;0.997417
88699;0.997441
88799;0.997484
88899;0.997409
88999;0.997391
89099;0.997492
89199;0.9975
89299;0.997517
89399;0.99741
89499;0.997462
89599;0.997549
89699;0.997416
89799;0.997426
89899;0.997364
89999;0.99735
90099;0.997318
90199;0.997322
90299;0.997311
90399;0.997196
90499;0.997224
90599;0.997247
90699;0.997214
90799;0.997267
90899;0.99725
90999;0.997194
91099;0.997251
91199;0.997197
91299;0.997314
91399;0.997334
91499;0.997292
91599;0.997303
91699;0.99732
91799;0.997316
91899;0.997381
91999;0.99743
92099;0.997453
92199;0.997425
92299;0.997431
92399;0.997448
92499;0.997443
92599;0.997415
92699;0.997441
92799;0.997434
92899;0.997361
92999;0.997334
93099;0.997318
93199;0.997323
93299;0.997373
93399;0.997368
93499;0.997381
93599;0.997408
93699;0.997343
93799;0.997398
93899;0.997389
93999;0.997398
94099;0.997406
94199;0.997448
94299;0.997493
94399;0.997571
94499;0.997603
94599;0.997579
94699;0.99766
94799;0.997586
94899;0.997552
94999;0.997568
95099;0.997551
95199;0.997502
95299;0.997499
95399;0.997486
95499;0.997481
95599;0.99748
95699;0.997544
95799;0.997561
95899;0.997573
95999;0.997566
96099;0.99759
96199;0.997462
96299;0.997432
96399;0.997464
96499;0.997408
96599;0.997367
96699;0.997331
96799;0.997288
96899;0.99724
96999;0.997294
97099;0.997399
97199;0.997217
97299;0.997284
97399;0.997363
97499;0.997432
97599;0.997474
97699;0.997507
97799;0.997562
97899;0.997629
97999;0.997598
98099;0.997566
98199;0.997491
98299;0.997395
98399;0.997334
98499;0.997368
98599;0.997298
98699;0.997302
98799;0.997266
98899;0.99725
98999;0.997256
99099;0.997326
99199;0.997249
99299;0.997159
99399;0.997241
99499;0.997303
99599;0.997315
99699;0.997331
99799;0.997278
99899;0.997273
99999;0.99733
100099;0.997387
100199;0.997426
100299;0.997493
100399;0.997432
100499;0.997424
100599;0.997357
100699;0.997375
100799;0.997408
100899;0.997448
100999;0.997455
101099;0.997473
101199;0.997415
101299;0.997426
101399;0.997526
101499;0.997534
101599;0.997532
101699;0.997587
101799;0.997504
101899;0.997491
101999;0.997541
102099;0.997584
102199;0.997666
102299;0.99761
102399;0.997578
102499;0.997603
102599;0.997618
102699;0.997679
102799;0.997702
102899;0.997701
102999;0.99772
103099;0.997693
103199;0.997678
103299;0.997716
103399;0.997688
103499;0.997684
103599;0.99766
103699;0.997645
103799;0.997592
103899;0.99759
103999;0.99754
104099;0.997556
104199;0.997592
104299;0.997571
104399;0.997569
104499;0.997537
104599;0.997532
104699;0.997473
104799;0.997478
104899;0.997506
104999;0.997528
105099;0.997592
105199;0.997533
105299;0.997586
105399;0.997589
105499;0.997615
105599;0.997632
105699;0.997657
105799;0.997655
105899;0.99776
105999;0.997799
106099;0.997882
106199;0.997873
106299;0.997894
106399;0.997971
106499;0.997917
106599;0.997821
106699;0.997877
106799;0.997862
106899;0.997819
106999;0.997852
107099;0.997835
107199;0.997832
107299;0.997781
107399;0.997885
107499;0.997906
107599;0.99787
107699;0.997879
107799;0.997993
107899;0.998008
107999;0.99804
108099;0.998001
108199;0.998035
108299;0.998107
108399;0.9981
108499;0.998076
108599;0.998093
108699;0.998113
108799;0.998133
108899;0.99807
108999;0.998051
109099;0.99808
109199;0.998053
109299;0.998088
109399;0.998037
109499;0.997992
109599;0.997921
109699;0.997798
109799;0.997765
109899;0.997857
109999;0.997846
110099;0.997835
110199;0.997906
110299;0.997923
110399;0.997887
110499;0.997833
110599;0.99784
110699;0.997773
110799;0.997758
110899;0.997697
110999;0.997793
111099;0.997844
111199;0.997825
111299;0.997866
111399;0.997777
111499;0.997819
111599;0.99787
111699;0.997877
111799;0.997889
111899;0.997862
111999;0.997875
112099;0.99786
112199;0.99787
112299;0.997842
112399;0.997812
112499;0.997809
112599;0.997776
112699;0.997804
112799;0.997858
112899;0.997871
112999;0.997935
113099;0.997889
113199;0.997858
113299;0.997827
113399;0.997813
113499;0.997842
113599;0.997837
113699;0.997742
113799;0.997694
113899;0.997709
113999;0.997685
114099;0.997695
114199;0.997697
114299;0.997693
114399;0.997703
114499;0.997678
114599;0.997717
114699;0.99766
114799;0.997683
114899;0.997713
114999;0.997749
115099;0.997785
115199;0.997862
115299;0.997905
115399;0.997953
115499;0.997984
115599;0.998063
115699;0.998083
115799;0.998135
115899;0.998191
115999;0.998197
116099;0.998175
116199;0.998217
116299;0.998222
116399;0.998175
116499;0.998202
116599;0.998236
116699;0.998228
116799;0.998221
116899;0.998237
116999;0.998263
117099;0.998254
117199;0.99825
117299;0.998259
117399;0.998232
117499;0.99827
117599;0.998351
117699;0.998303
117799;0.998311
117899;0.998232
117999;0.998265
118099;0.998244
118199;0.998233
118299;0.998251
118399;0.998201
118499;0.998214
118599;0.998154
118699;0.998151
118799;0.998165
118899;0.99813
118999;0.998137
119099;0.998126
119199;0.998116
119299;0.99813
119399;0.998143
119499;0.998164
119599;0.998185
119699;0.9982
119799;0.998202
119899;0.99823
119999;0.998201
120099;0.998222
120199;0.998172
120299;0.998129
120399;0.998104
120499;0.998152
120599;0.998203
120699;0.998244
120799;0.998196
120899;0.998213
120999;0.998194
121099;0.998142
121199;0.998098
121299;0.998067
121399;0.998038
121499;0.997992
121599;0.998026
121699;0.99804
121799;0.998019
121899;0.998061
121999;0.998097
122099;0.998108
122199;0.998078
122299;0.998027
122399;0.997978
122499;0.997967
122599;0.997973
122699;0.997974
122799;0.998023
122899;0.998001
122999;0.998036
123099;0.998031
123199;0.998046
123299;0.998064
123399;0.998067
123499;0.998085
123599;0.998075
123699;0.998122
123799;0.998138
123899;0.998153
123999;0.998285
124099;0.998226
124199;0.998245
124299;0.998295
124399;0.998335
124499;0.998286
124599;0.998341
124699;0.998342
124799;0.998272
124899;0.998193
124999;0.99814
125099;0.998125
125199;0.998106
125299;0.998146
125399;0.998146
125499;0.998073
125599;0.998048
125699;0.998055
125799;0.998075
125899;0.998085
