Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
1.09;	0.112332;	0.00554682;	0.41093;	0.0031867;	6.30443;	0.0932377;	-0.730339;	0.000717248
1.10;	0.115594;	0.00537944;	0.406412;	0.00341972;	6.08918;	0.089879;	-0.725417;	0.000730918
1.11;	0.111403;	0.00469384;	0.405163;	0.00304656;	5.92455;	0.079465;	-0.721467;	0.0007618
1.12;	0.106679;	0.00491527;	0.39992;	0.0030089;	5.70499;	0.0705686;	-0.716894;	0.000702834
1.13;	0.104179;	0.00510335;	0.39932;	0.00274834;	5.55782;	0.0725717;	-0.712828;	0.000709717
1.14;	0.100282;	0.00471983;	0.393745;	0.0027353;	5.41742;	0.0650812;	-0.709359;	0.00071466
1.15;	0.0914508;	0.00469195;	0.390701;	0.00267496;	5.27162;	0.0651574;	-0.705196;	0.000708654
1.16;	0.08898;	0.00413237;	0.387766;	0.00274072;	5.10489;	0.0585739;	-0.700855;	0.000690164
1.17;	0.0914788;	0.00408224;	0.384677;	0.00259218;	5.00987;	0.0603767;	-0.697357;	0.000686736
1.18;	0.0873404;	0.00393493;	0.383159;	0.00268303;	4.8875;	0.0539271;	-0.692353;	0.000670206
1.19;	0.0822428;	0.00417956;	0.379799;	0.00239209;	4.74267;	0.0584099;	-0.688539;	0.000628661
1.20;	0.0830216;	0.00399047;	0.377604;	0.00248922;	4.62616;	0.0483532;	-0.684563;	0.000673431
1.21;	0.0834608;	0.00385049;	0.374773;	0.0023373;	4.56872;	0.0561499;	-0.681185;	0.000668375
1.22;	0.084218;	0.00384176;	0.372588;	0.00244648;	4.46591;	0.0467196;	-0.677818;	0.000658406
1.23;	0.0836528;	0.00357382;	0.368923;	0.00227515;	4.35274;	0.0493181;	-0.673905;	0.000628905
1.24;	0.074958;	0.00365256;	0.367691;	0.00202625;	4.21872;	0.0469514;	-0.670344;	0.000636667
1.25;	0.075114;	0.00383427;	0.361041;	0.001913;	4.12962;	0.0469616;	-0.666834;	0.000615491
1.26;	0.0767668;	0.00305053;	0.359988;	0.00204385;	3.99912;	0.0453034;	-0.662871;	0.000585368
1.27;	0.0744532;	0.00335742;	0.358297;	0.00212203;	3.94415;	0.0410261;	-0.659733;	0.000611878
1.28;	0.072654;	0.00371331;	0.351783;	0.0019255;	3.86898;	0.0444527;	-0.656013;	0.000653825
1.29;	0.0712472;	0.00368565;	0.347444;	0.0019253;	3.78724;	0.0421709;	-0.652242;	0.000653388
1.30;	0.0687912;	0.00361487;	0.345118;	0.00187738;	3.73917;	0.043766;	-0.648524;	0.000649014
