Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
1.08;	-0.0607836;	0.00660942;	0.397305;	0.00314886;	6.28413;	0.101532;	-0.730472;	0.00076446
1.09;	-0.058128;	0.00669228;	0.394827;	0.00305786;	6.07479;	0.0989557;	-0.726523;	0.000781591
1.10;	-0.055218;	0.00639703;	0.394035;	0.00301087;	5.91215;	0.0999456;	-0.722636;	0.000797957
1.11;	-0.0562988;	0.00628313;	0.393167;	0.00292355;	5.79189;	0.0889337;	-0.718639;	0.000797058
1.12;	-0.0557076;	0.00616729;	0.389178;	0.00283294;	5.60358;	0.0889903;	-0.714565;	0.000814939
1.13;	-0.0541552;	0.00607402;	0.385529;	0.00273024;	5.47466;	0.0878565;	-0.710871;	0.000773083
1.14;	-0.0512152;	0.00574114;	0.383956;	0.00259851;	5.30084;	0.0832209;	-0.706542;	0.000764269
1.15;	-0.050018;	0.00565015;	0.381397;	0.00248373;	5.1939;	0.0791829;	-0.702648;	0.000761826
1.16;	-0.0475736;	0.00562502;	0.379166;	0.00251808;	5.0389;	0.0757843;	-0.698436;	0.000773404
1.17;	-0.0449844;	0.00546488;	0.378074;	0.00264667;	4.90225;	0.07352;	-0.694609;	0.000791288
1.18;	-0.0453564;	0.00543896;	0.375052;	0.0025062;	4.77155;	0.0702106;	-0.690927;	0.000791494
1.19;	-0.0429776;	0.0053256;	0.371639;	0.00246289;	4.66467;	0.0674807;	-0.686855;	0.000784839
1.20;	-0.0413452;	0.00506898;	0.370473;	0.00243666;	4.55579;	0.0671604;	-0.683207;	0.000765713
1.21;	-0.0419212;	0.00512789;	0.367522;	0.00245222;	4.49514;	0.0682496;	-0.679837;	0.000781023
1.22;	-0.0426168;	0.00511988;	0.363375;	0.0024722;	4.39543;	0.0666142;	-0.676334;	0.000772866
1.23;	-0.041922;	0.00495592;	0.360084;	0.00245584;	4.29648;	0.0658486;	-0.67275;	0.000759546
1.24;	-0.0417508;	0.00492082;	0.358468;	0.00246372;	4.20728;	0.0621242;	-0.669171;	0.000791555
1.25;	-0.041476;	0.00472535;	0.355806;	0.00243822;	4.11111;	0.0595356;	-0.665665;	0.000753232
1.26;	-0.0402396;	0.00462944;	0.352726;	0.00222635;	4.0073;	0.0568882;	-0.661945;	0.000761081
1.27;	-0.0401544;	0.00452458;	0.350788;	0.00237259;	3.92999;	0.0563005;	-0.65817;	0.000728191
1.28;	-0.0388344;	0.00438602;	0.346415;	0.00230495;	3.84706;	0.0548152;	-0.654495;	0.000708352
1.29;	-0.0392676;	0.00434853;	0.343689;	0.00235992;	3.79305;	0.0539798;	-0.650972;	0.000704867
1.30;	-0.0386032;	0.00414835;	0.341385;	0.00240313;	3.70648;	0.0514316;	-0.64717;	0.000698963
1.31;	-0.0383892;	0.00422088;	0.339087;	0.00230018;	3.63676;	0.0508846;	-0.643867;	0.000682677
1.32;	-0.0400092;	0.00420356;	0.335472;	0.00211618;	3.5592;	0.0480148;	-0.640117;	0.000671461
1.33;	-0.0399104;	0.00417092;	0.331834;	0.00203605;	3.47639;	0.0469718;	-0.636955;	0.000671315
1.34;	-0.040706;	0.00403451;	0.328805;	0.00201226;	3.4077;	0.0435087;	-0.633683;	0.000657282
1.35;	-0.0401088;	0.00413815;	0.326396;	0.0020087;	3.33915;	0.0422164;	-0.630302;	0.000666693
1.36;	-0.0400004;	0.00412478;	0.323559;	0.00199631;	3.27089;	0.0402476;	-0.626941;	0.000656874
1.37;	-0.0412004;	0.00398625;	0.321625;	0.00187225;	3.20594;	0.0392135;	-0.623435;	0.000628078
