Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            2.21;	-7.5688e-05;	0.000271346;	0.167861;	0.000119559;	1.11767;	0.00131358;	-0.424014;	8.24725e-05
            2.22;	-6.2264e-05;	0.000270267;	0.166643;	0.000118434;	1.10835;	0.00129781;	-0.422342;	8.25716e-05
            2.23;	-5.3984e-05;	0.000269062;	0.16543;	0.000116868;	1.09871;	0.00127544;	-0.420663;	8.25191e-05
            2.24;	-4.7352e-05;	0.000268125;	0.164243;	0.00011515;	1.08932;	0.00125834;	-0.419009;	8.24801e-05
            2.25;	-5.1512e-05;	0.000266955;	0.16301;	0.000114419;	1.08022;	0.00124017;	-0.417356;	8.23364e-05
            2.26;	-7.22e-05;	0.000265083;	0.161847;	0.000113083;	1.07098;	0.0012251;	-0.415743;	8.23026e-05
            2.27;	-5.2968e-05;	0.000264224;	0.160672;	0.00011235;	1.062;	0.00121209;	-0.414139;	8.17372e-05
            2.28;	-8.336e-05;	0.000262708;	0.159532;	0.000111536;	1.05322;	0.00120617;	-0.412544;	8.17239e-05
            2.29;	-0.000119536;	0.000261188;	0.15842;	0.000109045;	1.04473;	0.00119223;	-0.410956;	8.22194e-05
            2.30;	-9.8688e-05;	0.00026021;	0.157286;	0.000107664;	1.03638;	0.00118433;	-0.409376;	8.16299e-05
            2.31;	-9.4672e-05;	0.000259202;	0.156177;	0.000107647;	1.02786;	0.00117211;	-0.407806;	8.14377e-05
            2.32;	-9.5984e-05;	0.000257984;	0.155051;	0.000106595;	1.01974;	0.00114757;	-0.406245;	8.12588e-05
            2.33;	-0.000120864;	0.000255504;	0.153959;	0.000106614;	1.01164;	0.00112627;	-0.404694;	8.10013e-05
            2.34;	-0.000104832;	0.000255256;	0.152867;	0.000104187;	1.00339;	0.00110094;	-0.403149;	8.06964e-05
            2.35;	-9.3968e-05;	0.000255041;	0.151785;	0.00010428;	0.995695;	0.00108637;	-0.401631;	8.02168e-05
            2.36;	-7.9504e-05;	0.000254267;	0.150722;	0.000103447;	0.987751;	0.00107762;	-0.400107;	8.01796e-05
            2.37;	-8.34e-05;	0.000254391;	0.149661;	0.000103591;	0.98012;	0.0010709;	-0.398619;	7.95682e-05
            2.38;	-5.1856e-05;	0.000252458;	0.148595;	0.000103057;	0.972652;	0.00106166;	-0.397122;	7.96425e-05
            2.39;	-2.7896e-05;	0.000252079;	0.147551;	0.00010219;	0.965211;	0.00104576;	-0.395655;	8.01211e-05
            2.40;	-5.152e-05;	0.00025037;	0.146519;	0.000100868;	0.957971;	0.00103648;	-0.394181;	7.94753e-05
            2.41;	-9.208e-06;	0.00024841;	0.145502;	9.89622e-05;	0.95081;	0.0010355;	-0.392717;	7.95235e-05
            2.42;	-9.072e-06;	0.000247841;	0.144496;	9.90192e-05;	0.943739;	0.00102363;	-0.391271;	7.92348e-05
            2.43;	-4.216e-06;	0.000249393;	0.143504;	9.85293e-05;	0.936658;	0.00101433;	-0.389822;	7.89238e-05
