Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.93;	0.00315464;	0.00262936;	0.433118;	0.00110513;	9.30135;	0.0519924;	-0.791363;	0.000263239
0.94;	0.00034004;	0.00292284;	0.432333;	0.00118227;	8.97619;	0.0525393;	-0.786959;	0.000264192
0.95;	-0.0015312;	0.00245614;	0.429845;	0.00118215;	8.69289;	0.04488;	-0.782688;	0.00025065
0.96;	0.000452;	0.00207514;	0.42873;	0.0011621;	8.4081;	0.0424479;	-0.778656;	0.000258579
0.97;	0.0009042;	0.00245295;	0.425227;	0.00108493;	8.10329;	0.043262;	-0.774226;	0.000270878
0.98;	-4.156e-05;	0.00236893;	0.423418;	0.00109949;	7.8362;	0.0341077;	-0.769975;	0.000244513
0.99;	-0.00012404;	0.00206566;	0.422439;	0.00109055;	7.60465;	0.0358137;	-0.766133;	0.000240989
1.00;	0.00276352;	0.00216013;	0.420128;	0.00103599;	7.41678;	0.0330669;	-0.761885;	0.0002414
1.01;	-0.00033616;	0.00219843;	0.417699;	0.000985315;	7.16344;	0.0328625;	-0.757558;	0.00021788
1.02;	-0.00112368;	0.00203775;	0.41535;	0.000912105;	6.98612;	0.0351882;	-0.753494;	0.000214091
1.03;	0.00380816;	0.00210428;	0.413291;	0.00095257;	6.79498;	0.0323068;	-0.749304;	0.000208439
1.04;	-9.108e-05;	0.00193882;	0.410954;	0.000819981;	6.5616;	0.0281305;	-0.745038;	0.000220631
1.05;	-0.00162344;	0.00187972;	0.409256;	0.000901128;	6.44738;	0.0257923;	-0.740955;	0.000223839
1.06;	-0.00182628;	0.00197123;	0.406272;	0.000822821;	6.22173;	0.0314684;	-0.736963;	0.000229599
1.07;	-0.00137328;	0.00186725;	0.404204;	0.000921229;	6.05875;	0.027967;	-0.733072;	0.000203289
1.08;	0.00116216;	0.00185624;	0.403091;	0.000911945;	5.92553;	0.0261752;	-0.728851;	0.000220795
1.09;	0.00194344;	0.00168272;	0.400123;	0.000902495;	5.74018;	0.0256215;	-0.72469;	0.000208199
1.10;	0.00203216;	0.00177296;	0.39713;	0.000878126;	5.5908;	0.0207664;	-0.720546;	0.000197926
1.11;	0.0014232;	0.00156846;	0.39397;	0.000862548;	5.46427;	0.0218335;	-0.716704;	0.000224171
1.12;	-0.0011208;	0.00140072;	0.391812;	0.000795395;	5.30745;	0.0215527;	-0.712668;	0.000220642
1.13;	-0.00135188;	0.00138496;	0.388848;	0.000760821;	5.17841;	0.0209631;	-0.708899;	0.000227596
1.14;	0.00065448;	0.00144124;	0.386368;	0.000783822;	5.06452;	0.0185488;	-0.705043;	0.000211364
1.15;	-0.0024468;	0.00137996;	0.384774;	0.000762518;	4.95263;	0.0211369;	-0.701246;	0.000222725
1.16;	-0.00089428;	0.0015049;	0.382185;	0.0008067;	4.84561;	0.0208638;	-0.697556;	0.000201828
1.17;	-0.00034488;	0.00143945;	0.379417;	0.000781827;	4.71394;	0.0199075;	-0.693715;	0.000213566
1.18;	-0.00188616;	0.00151763;	0.375596;	0.000772929;	4.62261;	0.0163575;	-0.690031;	0.000213842
1.19;	-0.00128656;	0.00129301;	0.373716;	0.000723172;	4.56017;	0.016706;	-0.686246;	0.000211308
1.20;	0.00052096;	0.00136393;	0.369571;	0.000743925;	4.41837;	0.0164597;	-0.682418;	0.000206894
1.21;	-0.00028476;	0.00139647;	0.368397;	0.000739982;	4.35189;	0.0180616;	-0.678757;	0.000205998
1.22;	-0.00072696;	0.00129624;	0.366066;	0.000745975;	4.23958;	0.0141799;	-0.675002;	0.000195634
1.23;	-0.00089988;	0.00136617;	0.362733;	0.000670497;	4.15813;	0.0147845;	-0.67137;	0.000204873
1.24;	0.0011768;	0.00119722;	0.359935;	0.000634548;	4.04695;	0.0159422;	-0.667639;	0.000204642
1.25;	-0.00208924;	0.00112258;	0.357849;	0.000703118;	3.97754;	0.0139992;	-0.664254;	0.000185025
1.26;	4.02e-05;	0.00122723;	0.355265;	0.00067236;	3.89722;	0.0136325;	-0.660689;	0.0001855
1.27;	0.000777;	0.00113452;	0.351864;	0.000709703;	3.80125;	0.0121976;	-0.657143;	0.000184927
1.28;	-0.00037444;	0.00106883;	0.349458;	0.000657716;	3.74242;	0.0126222;	-0.653687;	0.000179877
1.29;	-0.00244432;	0.00106095;	0.347532;	0.000594332;	3.6332;	0.0117053;	-0.650133;	0.000204381
1.30;	-0.00025264;	0.00103335;	0.345337;	0.000675271;	3.56973;	0.0108485;	-0.646577;	0.000188802
1.31;	-0.00041556;	0.00114356;	0.341959;	0.000669397;	3.49791;	0.0111612;	-0.643129;	0.000200548
1.32;	0.00013576;	0.0012204;	0.339207;	0.000627095;	3.43467;	0.0117461;	-0.639537;	0.000185473
