Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            0.99;	0.151207;	0.000998305;	0.44274;	0.000550055;	8.51314;	0.0193804;	-0.771944;	0.000120077
            1.00;	0.146132;	0.000974066;	0.438885;	0.000533046;	8.22096;	0.0184272;	-0.76749;	0.000124042
            1.01;	0.142067;	0.000961227;	0.436495;	0.00054081;	7.94889;	0.0175757;	-0.763205;	0.000115706
            1.02;	0.137887;	0.000953389;	0.433523;	0.000527694;	7.70721;	0.0173099;	-0.758754;	0.000115025
            1.03;	0.134124;	0.000909428;	0.430327;	0.000475953;	7.45246;	0.0165709;	-0.754394;	0.000114411
            1.04;	0.129989;	0.000881495;	0.427366;	0.000476707;	7.21983;	0.0160958;	-0.750005;	0.000113609
            1.05;	0.126563;	0.000808279;	0.42422;	0.000474563;	6.98136;	0.014432;	-0.745709;	0.000107682
            1.06;	0.123628;	0.000813857;	0.42147;	0.000468371;	6.78894;	0.0139044;	-0.741534;	0.000105162
            1.07;	0.120572;	0.000790294;	0.418576;	0.000474819;	6.59647;	0.0134705;	-0.737275;	0.000105834
            1.08;	0.117429;	0.000811935;	0.415332;	0.000437072;	6.41691;	0.0125273;	-0.73318;	0.000101071
            1.09;	0.113871;	0.000790442;	0.412298;	0.000423685;	6.24279;	0.0122227;	-0.729132;	0.000101701
            1.10;	0.111269;	0.000782033;	0.409578;	0.000424184;	6.08126;	0.012272;	-0.725056;	0.000103615
            1.11;	0.108973;	0.000750312;	0.406593;	0.00042908;	5.91117;	0.0117501;	-0.720922;	0.000102591
            1.12;	0.106018;	0.000737065;	0.403389;	0.000401965;	5.74537;	0.0111321;	-0.716811;	0.000104423
            1.13;	0.103583;	0.000720216;	0.400542;	0.000378346;	5.59084;	0.0108122;	-0.712788;	0.000104178
            1.14;	0.10098;	0.000689653;	0.397122;	0.000373768;	5.44217;	0.0105197;	-0.708756;	0.000102289
            1.15;	0.0985097;	0.000688585;	0.394663;	0.00038458;	5.31131;	0.010251;	-0.70485;	0.000101677
            1.16;	0.0961146;	0.000693359;	0.391578;	0.000373736;	5.17049;	0.00976234;	-0.700839;	0.000102526
            1.17;	0.0949597;	0.000661258;	0.388865;	0.000369478;	5.03239;	0.00926235;	-0.696938;	0.000102249
            1.18;	0.0925713;	0.000661991;	0.385992;	0.000364015;	4.9246;	0.0085843;	-0.693109;	0.000103174
            1.19;	0.0899632;	0.000651129;	0.382959;	0.00035861;	4.80324;	0.00853613;	-0.689267;	9.95844e-05
            1.20;	0.0878643;	0.000615877;	0.379851;	0.000347267;	4.68419;	0.00850656;	-0.685439;	9.53753e-05
            1.21;	0.0858554;	0.000605714;	0.376883;	0.000337078;	4.5705;	0.0078386;	-0.681655;	9.46037e-05
            1.22;	0.0836539;	0.000601095;	0.374001;	0.000322311;	4.47472;	0.00825593;	-0.677952;	9.38389e-05
            1.23;	0.0822039;	0.000568972;	0.370883;	0.00031804;	4.36866;	0.00705282;	-0.674234;	9.18707e-05
            1.24;	0.0809701;	0.000558375;	0.36817;	0.000326252;	4.25876;	0.00713601;	-0.670494;	8.94298e-05
            1.25;	0.0796969;	0.000534128;	0.364962;	0.000326569;	4.17828;	0.00700497;	-0.666855;	9.22356e-05
            1.26;	0.0769785;	0.000515456;	0.36182;	0.000309855;	4.083;	0.00666046;	-0.663185;	9.41963e-05
            1.27;	0.0752832;	0.000523317;	0.359083;	0.000323917;	3.98853;	0.00630643;	-0.659494;	9.1319e-05
            1.28;	0.073392;	0.000550705;	0.356005;	0.000308681;	3.90842;	0.00626845;	-0.655879;	9.21343e-05
            1.29;	0.0716613;	0.000545461;	0.352945;	0.000298309;	3.81995;	0.00594388;	-0.652319;	9.40606e-05
            1.30;	0.0706243;	0.000524382;	0.350005;	0.000282198;	3.7431;	0.00618513;	-0.648846;	9.7335e-05
            1.31;	0.069286;	0.000516391;	0.347364;	0.000287623;	3.6657;	0.00602184;	-0.645377;	9.32757e-05
            1.32;	0.0678833;	0.000502365;	0.344694;	0.000291765;	3.59661;	0.00575956;	-0.64196;	9.39903e-05
            1.33;	0.0668695;	0.00048887;	0.341939;	0.000297551;	3.52572;	0.00563856;	-0.638574;	9.45417e-05
            1.34;	0.0656745;	0.000484224;	0.339293;	0.000289245;	3.46049;	0.00521975;	-0.635148;	9.31777e-05
            1.35;	0.0648127;	0.000483741;	0.336424;	0.000293964;	3.38713;	0.00496889;	-0.631757;	9.33998e-05
            1.36;	0.0633524;	0.000455857;	0.333504;	0.000274437;	3.32543;	0.0046557;	-0.628387;	9.27757e-05
            1.37;	0.0627566;	0.000441839;	0.330891;	0.000267791;	3.25632;	0.00476737;	-0.625125;	9.1015e-05
            1.38;	0.0612249;	0.000470785;	0.327954;	0.000281744;	3.1981;	0.00458357;	-0.621788;	8.69698e-05
            1.39;	0.0600591;	0.000455772;	0.324993;	0.000269814;	3.13708;	0.00439865;	-0.618493;	8.65337e-05
            1.40;	0.0588636;	0.000411684;	0.322467;	0.000260703;	3.08387;	0.00444766;	-0.61525;	8.94457e-05
            1.41;	0.0580884;	0.000419296;	0.319843;	0.000255674;	3.02989;	0.00428495;	-0.61206;	8.99735e-05
            1.42;	0.0573662;	0.000414247;	0.31722;	0.000246403;	2.97633;	0.00423742;	-0.608844;	8.92262e-05
            1.43;	0.0563377;	0.000402326;	0.314433;	0.000251731;	2.92216;	0.00425619;	-0.605665;	8.71048e-05
            1.44;	0.0554122;	0.00038164;	0.311887;	0.00024953;	2.87311;	0.00389524;	-0.602546;	8.64165e-05
            1.45;	0.0540014;	0.000398643;	0.309272;	0.000233656;	2.82347;	0.0038662;	-0.599458;	8.51661e-05
